,tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot,P_motor,P_power_el,P_cables,P_battery,P_loss_motor,P_loss_power_el,P_loss_cables,P_loss_battery,P_GT_out,P_GT_in,P_GT_loss,eta_GT
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19506.725376305465,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208974790458665
1,takeoff,13.916,0,0.0,53.495,0.0,6.154,0.0,0.64,19504.24184219471,2.483534110753584,0.0,0.022921114008860412,0.008057339850846177,11550,5000,0.21600106091559163,1663447.4176135147,7701107.626797966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840124.958390664,2748447.61752566,1908322.659134996,0.30567253784774756
2,climbout,3.933,30,0.0,63.222,7.629,10.5,0.0,0.8,19503.398847649656,0.8429945450536308,0.0,0.009012140233718038,0.001928959769511313,11550,5000,0.2824952247437513,2611772.0940436283,9245367.23200451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319076.8151735496,3849759.2822813666,2530682.467107817,0.34263877776583085
3,climbout,3.932,60,0.0,63.222,7.63,10.5,0.0,0.8,19502.55664576081,0.8422018888455711,0.0,0.008996139807459714,0.001930655714522986,11550,5000,0.28270117590179417,2611850.5387558797,9238909.35516729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319116.4337150909,3846406.601672984,2527290.1679578936,0.34294773546336593
4,climbout,3.932,90,0.0,63.222,7.63,10.5,0.0,0.8,19501.715075186847,0.8415705739643731,0.0,0.008981418269810899,0.001933025163739482,11550,5000,0.28290334461982053,2611737.753006364,9231908.362611076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319059.4712153354,3842843.7892603916,2523784.318045056,0.3432508692915687
5,climbout,3.932,120,0.0,63.222,7.631,10.5,0.0,0.8,19500.874084225492,0.8409909613542861,0.0,0.008967708223617905,0.0019352230618439764,11550,5000,0.28310821556786253,2611816.363625981,9225505.372167183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319099.1735484751,3839517.838984932,2520418.6654364564,0.34355854793924084
6,climbout,3.931,150,0.0,63.222,7.632,10.5,0.0,0.8,19500.033886283803,0.8401979416870884,0.0,0.008951738902606591,0.001936930608375698,11550,5000,0.28331255469285377,2611895.035365749,9219129.163539434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319138.9067503784,3836204.727135195,2517065.8203848163,0.3438656173429739
7,climbout,3.931,180,0.0,63.222,7.619,10.5,0.0,0.8,19499.194995119917,0.8388911638864561,0.0,0.008924043336930084,0.0019416015074195938,11550,5000,0.28347179694858987,2609295.6621740498,9204780.476441078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317826.092007096,3829773.0752075575,2511946.9832004616,0.3441003072840485
8,climbout,3.938,210,0.0,63.222,7.601,10.5,0.0,0.8,19498.356178593767,0.8388165261489047,0.0,0.008907250158925467,0.0019506144767777772,11550,5000,0.2836149538665339,2605740.242461752,9187598.209958933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316030.4254857334,3822236.146732912,2506205.7212471785,0.3443090314057705
9,climbout,3.946,240,0.0,63.222,7.583,10.5,0.0,0.8,19497.517227888206,0.8389507055625139,0.0,0.008892692899044376,0.0019601335719168483,11550,5000,0.2837579535747658,2602185.1289731585,9170439.440343382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314234.9136228072,3814711.705737132,2500476.792114325,0.3445174930640931
